generator,ruleset,seed,budget,branch_coverage,mutation_score,time_sec
search,usopen,12,60,0.7575757575757575,0.43506493506493504,20.314
search,usopen,13,60,0.7272727272727273,0.42207792207792205,22.186
search,usopen,14,60,0.7575757575757575,0.4448051948051948,20.374
search,usopen,15,60,0.7424242424242425,0.42857142857142855,20.114
search,usopen,16,60,0.7272727272727273,0.39935064935064934,19.065
search,usopen,17,60,0.7575757575757575,0.4448051948051948,24.228
search,usopen,18,60,0.7121212121212122,0.42207792207792205,21.341
search,usopen,19,60,0.7272727272727273,0.4383116883116883,19.986
search,usopen,20,60,0.696969696969697,0.42857142857142855,19.999
search,usopen,21,60,0.7575757575757575,0.4448051948051948,20.499
search,usopen,22,60,0.7575757575757575,0.44805194805194803,19.735
search,usopen,23,60,0.6818181818181819,0.41883116883116883,19.59
search,usopen,24,60,0.7575757575757575,0.4253246753246753,20.297
search,usopen,25,60,0.7575757575757575,0.4090909090909091,21.023
